Α/Α,Module,Τίτλος κανόνα,Κατηγορία,Κατάσταση,Είδος,Άρθρο,Τίτλος άρθρου στο πρότυπο,Παράγραφοι,Πλήθος ¶,Δείγμα κειμένου
62,M19,ΚΙΝΔΥΝΟΙ & ΤΙΤΛΟΙ ΚΥΡΙΟΤΗΤΑΣ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,14,ΚΙΝΔΥΝΟΙ ΚΑΙ ΤΙΤΛΟΙ ΚΥΡΙΟΤΗΤΑΣ,¶230–232,3,Οι κίνδυνοι του Συστήματος θα μεταβιβαστούν στην ΕΤΕ με την έκδοση του αντίστοιχου Πιστοποιητικού Τελικής Παραλαβής. Η μεταβίβαση των κινδύνων δεν αποδεσμεύει ούτε απαλλά…
63,M20,ΕΓΓΥΗΣΗ (warranty),A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,15,ΕΓΓΥΗΣΗ,¶233–269,37,Ο Ανάδοχος εγγυάται ότι κατά την Περίοδο Εγγύησης το Σύστημα που παραδίδεται βάσει της παρούσας Σύμβασης:
64,M20a,Εγγύηση κατά ιών / κακόβουλου κώδικα,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,15,ΕΓΓΥΗΣΗ,¶237–237,1,"(γ)θα είναι απαλλαγμένο από οποιοδήποτε πραγματικό ελάττωμα, καθώς και από οποιοδήποτε νομικό ελάττωμα, περιλαμβανομένων, ενδεικτικά, των βαρών, επιβαρύνσεων και εμπράγμα…"
65,M20a,Εγγύηση κατά ιών / κακόβουλου κώδικα,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,3,ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ - ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ,¶109–109,1,Ρητά συμφωνείται ότι σε περίπτωση μη έγκαιρης και προσήκουσας εκπλήρωσης της παροχής των Υπηρεσιών από την Εταιρεία σύμφωνα με τους όρους και τις προϋποθέσεις της παρούσα…
66,M21,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,16,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,¶270–289,20,"Εάν η εκτέλεση του έργου καθυστερήσει λόγω οποιουδήποτε γεγονότος ανωτέρας βίας, θα παρέχεται στον Ανάδοχο χρονική παράταση για την ολοκλήρωση, όπως θα συμφωνείται αμοιβα…"
67,M21,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,3,ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ - ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ,¶74–74,1,ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ - ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ
68,M21a,Ρήτρα μη τήρησης διαθεσιμότητας,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,16,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,¶274–274,1,"Όσον αφορά τη διαθεσιμότητα της υπηρεσίας, σε περίπτωση μη τήρησης του συμφωνημένου ποσοστού διαθεσιμότητας, κατά τα οριζόμενα στο Παράρτημα 1 (ενότητα 2.3.3), η Τράπεζα …"
69,M21a,Ρήτρα μη τήρησης διαθεσιμότητας,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,3,ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ - ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ,¶90–90,1,"Όσον αφορά τη διαθεσιμότητα της Λύσης, σε περίπτωση μη τήρησης του συμφωνημένου ποσοστού διαθεσιμότητας, κατά τα οριζόμενα στο Προσάρτημα … του Παραρτήματος 1, η Τράπεζα …"
70,M21b,Ρήτρα Vulnerability fixes (P = V×N/365),A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,16,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,¶275–275,1,Ποινική Ρήτρα για Vulnerability fixes
71,M21b,Ρήτρα Vulnerability fixes (P = V×N/365),B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,3,ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ - ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ,¶100–100,1,Ποινική Ρήτρα για Vulnerability fixes
72,M22,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,17,ΚΑΤΑΓΓΕΛΙΑ ΣΥΜΒΑΣΗΣ,¶290–321,32,"Έκαστος συμβαλλόμενος δικαιούται να καταγγείλει την παρούσα Σύμβαση, καθ’ ολοκληρίαν ή σχετικά με οποιοδήποτε μέρος αυτής, με άμεση έναρξη ισχύος, μέσω έγγραφης ειδοποίησ…"
73,M22,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,15,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶323–357,35,"Οιοσδήποτε των Συμβαλλομένων Μερών δικαιούται να καταγγείλει την παρούσα σύμβαση, στις εξής περιπτώσεις, καθώς και όπου ρητώς προβλέπεται στην παρούσα σύμβαση:"
74,M22,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,13,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶205–215,11,"Οιοδήποτε των Συμβαλλομένων Μερών δικαιούται να καταγγείλει την παρούσα Σύμβαση, όπου ρητώς προβλέπεται στην παρούσα σύμβαση, καθώς και στις εξής περιπτώσεις:"
